title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
Clash Royale Olympics | Who's the Fastest ?,7ACqUS68_zQ,6742622,167908,39810,32731,0
10 Olympic Athletes Caught CHEATING at the Games,ps-3ILw4mAY,25648032,53712,14747,6251,0
10 Most Disturbing Deaths At The Olympic Games,BmPun849pog,13236389,26925,7670,4474,0
Slovenia's Koren Stuns Slalom Skiing's Best at Lillehammer 1994 | Olympics on the Record,H2VzcNpLEmU,579,45,0,2,0
Usain Bolt Wins 200m Final | London 2012 Olympic Games,LWZQAVtkMBo,9838030,0,0,2298,0
Clash Royale Olympics | Who's the Strongest ?,ANBXNLslNKo,2411405,59703,7047,17309,0
Rio 2016 Olympics WAG AA NBC,hN8dljLsVm8,9355,251,1,139,0
Clash Royale Olympics | Who's the Best Legendary?,ZnXIrqmsAgk,1014421,24786,3321,10964,0
Top Crazy Table Tennis Rallies at the Olympics,Nz4Zxfb7xxM,358133,1324,53,87,0
Women's Uneven Bars Final - London 2012 Olympics,rp4NKWb7dXk,4630997,11770,816,2049,0
SIDEMEN OLYMPICS,82lJf8_5Ps8,21556791,299644,6660,30502,0
Rio 2016 Opening Ceremony Full HD Replay | Rio 2016 Olympic Games,N_qXm9HY9Ro,731935,12404,263,3487,0
100m at The Olympics From Tom Burke to Usain Bolt | Documentary,iEuTk33pVZM,86767,585,52,41,0
Rio 2016 Top 10 Fails Compilation (Summer Olympics),hplyy3jKFdg,273374,828,83,143,0
Women's Beam Final - London 2012 Olympics,VZvoufQy8qc,6727125,0,0,2443,0
Clash Royale Olympics  | Which Wizard Is The Best?,VL7QiwIRnXo,6144,257,19,129,0
The Complete London 2012 Opening Ceremony | London 2012 Olympic Games,4As0e4de-rI,7449513,55517,2442,7496,0
Usain Bolt Wins Olympic 100m Gold | London 2012 Olympic Games,2O7K-8G2nwU,20897709,48377,2386,6764,0
Pelataan Trollface Winter Olympics | TROLLAUKSEN OLYMPIALAISET,fSByyOg0g-U,10900,494,7,511,0
Hottest Female Athletes in Rio Olympics 2016,y3DAhPxP7hw,3482787,5933,2264,1573,0
Olympics | USA Gymnastics Team Dominates,OftlU7TZPTM,1283775,1682,225,337,0
"Fail Olympics || ""FAIL-YMPICS PART 2"" by FailArmy 2016",ClRiAQmbAwc,6085075,71924,2914,3171,0
The Try Guys Try The Ancient Olympics,e_CTxlsCL7E,6620951,105740,4471,12923,0
Clash Royale Olympics | Who's The Quickest To Attack The Tower?,Gmosgj0zS0Y,14292,1027,111,187,0
